Timestep,x error,y error
89,0.0,0.0
90,0.0,0.0
91,-0.047467672195292465,-0.0013506312850672941
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,-0.010700371935733699,0.0035015931310704573
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.013930510675795205,0.0006645124541089231
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0019704017703361387,0.0019876662455580174
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,-0.005207864326408185,0.004292112679313398
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,-0.0016269975776594947,0.0006884172711272285
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,-0.0011146490296845002,0.006590734244098506
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,-0.0030795469256013064,0.0008266845347542073
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,-0.0005912927812481428,0.004940279735770936
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,-0.0012560579539204753,0.0007146720377573246
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,-0.004381506474171459,0.005957736012736525
139,0.0,0.0
140,-0.00017627464695024742,0.007219647732737755
141,0.0,0.0
142,0.0,0.0
143,-0.003026288978652758,0.002196522174511273
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,-0.0006133310531737379,0.00381372379652678
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,-0.004054641715686813,0.0037308766643349145
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,-0.0003893027173411667,0.001740298033748644
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,-0.005328885379753956,0.08737261560290843
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.005562300601603454,0.007063299861626682
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,-0.003995882868572664,0.0013243265356646106
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,-0.004328246992123752,0.007327575837787315
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,-0.0063831271759688946,0.003726789142824316
183,0.0,0.0
184,0.0,0.0
185,0.0,0.0
186,0.0,0.0
187,0.0019116443621740586,0.004394216233198023
188,0.0,0.0
189,0.0,0.0
190,0.0,0.0
191,0.0,0.0
192,-0.0063115084136669,0.0033300752415055257
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0027894027904871166,-0.002132928960912217
197,0.0,0.0
198,0.0,0.0
199,0.0,0.0
200,-0.007944010609104879,0.007794877160637981
201,0.0,0.0
202,0.0,0.0
203,0.0,0.0
204,0.0,0.0
205,-0.0006665898394153658,0.0024438872750423
206,0.0,0.0
207,0.0,0.0
208,-0.005011371781144192,0.004868518244771636
209,0.0,0.0
210,0.0,0.0
211,0.0,0.0
212,0.0,0.0
213,-0.004291528119864552,0.0037944680342771875
214,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,0.0028169418668468893,-0.004782758595663239
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,0.0,0.0
222,-0.0027196097502368843,0.00840570930726603
223,0.0,0.0
224,0.0,0.0
225,0.0,0.0
226,0.0,0.0
227,-0.005171142432132569,0.0007590069530385435
228,0.0,0.0
229,0.0,0.0
230,0.0,0.0
231,0.0,0.0
232,-0.0017353354759954698,0.004618239359702514
233,0.0,0.0
234,0.0,0.0
235,0.0,0.0
236,-0.005990147481639951,0.004879599389862932
237,0.0,0.0
238,0.0,0.0
239,0.0,0.0
240,0.0037571736204569106,0.005408761060266443
241,0.0,0.0
242,0.0,0.0
243,0.0,0.0
244,0.0,0.0
245,-0.0075583892337895975,0.003161468975841686
246,0.0,0.0
247,0.0,0.0
248,0.0,0.0
249,-0.010006242971986268,-0.0015921237457474646
250,0.0,0.0
251,0.0,0.0
252,0.0,0.0
253,0.0,0.0
254,0.0028867362980840028,0.0014900215766884273
255,0.0,0.0
256,0.0,0.0
257,0.0,0.0
258,0.0,0.0
259,-0.0016012829999993983,0.004708084420116165
260,0.0,0.0
261,0.0,0.0
262,0.0,0.0
263,0.0,0.0
264,-0.006772425336400545,0.005467089178719853
265,0.0,0.0
266,0.0,0.0
267,0.0,0.0
268,0.00337519366422967,-0.003296821620667245
269,0.0,0.0
270,0.0,0.0
271,0.0,0.0
272,0.0,0.0
273,-0.004855283455583503,0.006084918144437346
274,0.0,0.0
275,0.0,0.0
276,0.0,0.0
277,0.0,0.0
278,-0.0008722573842376846,0.002750757524600189
279,0.0,0.0
280,0.0,0.0
281,0.0,0.0
282,0.0,0.0
283,-0.002446000396474801,0.004809012936431323
284,0.0,0.0
285,0.0,0.0
286,0.0,0.0
287,0.0,0.0
288,-0.0026773872193608383,0.0010962184566896127
289,0.0,0.0
290,0.0,0.0
291,0.0,0.0
292,0.0,0.0
293,-0.004010563564847303,0.005983990212475199
294,0.0,0.0
295,0.0,0.0
296,0.0,0.0
